condition,task,stim_file,type,shape,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,image.started,image.stopped,text2.started,text2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_3.started,text_3.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_2.started,text_2.stopped,image_2.started,image_2.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,key_resp_3.rt,text_6.started,text_6.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_4.started,text_4.stopped,image_3.started,image_3.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,12.784914057003334,None,space,21.012875866959803,12.784914057003334,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2021_Dec_01_1450,psychophysics_project,2021.2.3,59.82086106319763,
nonsalient,go,1go4.png,,,0,0,0,4,,,,,,,,,,,,,,,34.87631251499988,None,33.890453852014616,34.89308387192432,space,0.41591027507092804,34.87631251499988,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2021_Dec_01_1450,psychophysics_project,2021.2.3,59.82086106319763,
nonsalient,go,1go2.png,,,0,1,1,2,,,,,,,,,,,,,,,36.31378799502272,None,35.328904839931056,36.33032279193867,space,0.3833446829812601,36.31378799502272,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2021_Dec_01_1450,psychophysics_project,2021.2.3,59.82086106319763,
nonsalient,nogo,1nogo3.png,,,0,2,2,13,,,,,,,,,,,,,,,37.71752566494979,39.72271783195902,36.73376152000856,37.7340032949578,None,,37.71752566494979,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2021_Dec_01_1450,psychophysics_project,2021.2.3,59.82086106319763,
salient,nogo,1nogov1.png,,,0,3,3,16,,,,,,,,,,,,,,,41.72734456998296,43.732020281022415,40.741822646930814,41.74392335303128,None,,41.72734456998296,40.741822646930814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2021_Dec_01_1450,psychophysics_project,2021.2.3,59.82086106319763,
nonsalient,go,1go.png,,,0,4,4,0,,,,,,,,,,,,,,,45.73718268296216,None,44.751307678991,45.75424695201218,space,0.43772645003627986,45.73718268296216,44.751307678991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2021_Dec_01_1450,psychophysics_project,2021.2.3,59.82086106319763,
salient,go,1gov4.png,,,0,5,5,9,,,,,,,,,,,,,,,47.20861929201055,None,46.22231558803469,47.22531183692627,space,0.3800175479846075,47.20861929201055,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2021_Dec_01_1450,psychophysics_project,2021.2.3,59.82086106319763,
salient,nogo,1nogov3.png,,,0,6,6,18,,,,,,,,,,,,,,,48.61203152500093,50.617332038935274,47.626073617022485,48.62857466295827,None,,48.61203152500093,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2021_Dec_01_1450,psychophysics_project,2021.2.3,59.82086106319763,
nonsalient,go,1go1.png,,,0,7,7,1,,,,,,,,,,,,,,,52.62229827500414,None,51.63702966994606,52.63922243192792,space,0.38367643707897514,52.62229827500414,51.63702966994606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2021_Dec_01_1450,psychophysics_project,2021.2.3,59.82086106319763,
salient,nogo,1nogov4.png,,,0,8,8,19,,,,,,,,,,,,,,,54.02735520992428,56.03293412702624,53.040131505928,54.04425000201445,None,,54.02735520992428,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2021_Dec_01_1450,psychophysics_project,2021.2.3,59.82086106319763,
salient,nogo,1nogov2.png,,,0,9,9,17,,,,,,,,,,,,,,,58.02150568203069,60.02687889698427,57.05234155699145,58.05446157197002,None,,58.02150568203069,57.05234155699145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2021_Dec_01_1450,psychophysics_project,2021.2.3,59.82086106319763,
nonsalient,go,1go3.png,,,0,10,10,3,,,,,,,,,,,,,,,62.032248956966214,None,61.04653454502113,62.04903305496555,space,0.41025310498662293,62.032248956966214,61.04653454502113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2021_Dec_01_1450,psychophysics_project,2021.2.3,59.82086106319763,
salient,go,1gov3.png,,,0,11,11,8,,,,,,,,,,,,,,,63.4527241300093,None,62.48344156995881,63.48625544202514,space,1.025472244946286,63.4527241300093,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2021_Dec_01_1450,psychophysics_project,2021.2.3,59.82086106319763,
nonsalient,nogo,1nogo4.png,,,0,12,12,14,,,,,,,,,,,,,,,65.49168959702365,67.49689952703193,64.52219605492428,65.52502782503143,None,,65.49168959702365,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2021_Dec_01_1450,psychophysics_project,2021.2.3,59.82086106319763,
nonsalient,nogo,1nogo.png,,,0,13,13,10,,,,,,,,,,,,,,,69.50244629499502,71.50798335694708,68.51625851192512,69.51886670500971,None,,69.50244629499502,68.51625851192512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2021_Dec_01_1450,psychophysics_project,2021.2.3,59.82086106319763,
nonsalient,nogo,1nogo2.png,,,0,14,14,12,,,,,,,,,,,,,,,73.49626761197578,75.5015688749263,72.52724725496955,73.52975018497091,None,,73.49626761197578,72.52724725496955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2021_Dec_01_1450,psychophysics_project,2021.2.3,59.82086106319763,
salient,nogo,1nogov.png,,,0,15,15,15,,,,,,,,,,,,,,,77.50683687499259,79.51218225702178,76.52095272997394,77.52359488699585,None,,77.50683687499259,76.52095272997394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2021_Dec_01_1450,psychophysics_project,2021.2.3,59.82086106319763,
salient,go,1gov.png,,,0,16,16,5,,,,,,,,,,,,,,,81.51761964196339,None,80.53163478698116,81.5343084349297,space,0.4125309279188514,81.51761964196339,80.53163478698116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2021_Dec_01_1450,psychophysics_project,2021.2.3,59.82086106319763,
salient,go,1gov1.png,,,0,17,17,6,,,,,,,,,,,,,,,82.95491036493331,None,81.96898114995565,82.97168832202442,space,0.3496897399891168,82.95491036493331,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2021_Dec_01_1450,psychophysics_project,2021.2.3,59.82086106319763,
nonsalient,nogo,1nogo1.png,,,0,18,18,11,,,,,,,,,,,,,,,84.32516820693854,86.33043389196973,83.33913828001823,84.34196623496246,None,,84.32516820693854,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2021_Dec_01_1450,psychophysics_project,2021.2.3,59.82086106319763,
salient,go,1gov2.png,,,0,19,19,7,,,,,,,,,,,,,,,88.31906111503486,None,87.34989658498671,88.35262179700658,space,0.4347313200123608,88.31906111503486,87.34989658498671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2021_Dec_01_1450,psychophysics_project,2021.2.3,59.82086106319763,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.78697914700024,None,space,10.829120835056528,88.78697914700024,None,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2021_Dec_01_1450,psychophysics_project,2021.2.3,59.82086106319763,
salient,nogo,2nogov.png,,,,,,,0,0,0,15,,,,,,,,,,,,,,,,,,,,,,,,,99.6828926919261,100.68561776494607,100.66870930697769,102.67407410196029,None,100.66870930697769,None,,,,,,,,,,,,,,,,,,7,001,2021_Dec_01_1450,psychophysics_project,2021.2.3,59.82086106319763,
salient,go,2gov3.png,,,,,,,0,1,1,8,,,,,,,,,,,,,,,,,,,,,,,,,103.6768998169573,104.67940665199421,104.6627304200083,None,space,104.6627304200083,None,0.3899792250012979,,,,,,,,,,,,,,,,,7,001,2021_Dec_01_1450,psychophysics_project,2021.2.3,59.82086106319763,
nonsalient,nogo,2nogo4.png,,,,,,,0,2,2,14,,,,,,,,,,,,,,,,,,,,,,,,,105.09743374492973,106.10006635996979,106.066661896999,108.07191179494839,None,106.066661896999,None,,,,,,,,,,,,,,,,,,7,001,2021_Dec_01_1450,psychophysics_project,2021.2.3,59.82086106319763,
nonsalient,go,2go1.png,,,,,,,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,109.09119012695737,110.09405561699532,110.07731889002025,None,space,110.07731889002025,109.09119012695737,0.38053975999355316,,,,,,,,,,,,,,,,,7,001,2021_Dec_01_1450,psychophysics_project,2021.2.3,59.82086106319763,
salient,go,2gov2.png,,,,,,,0,4,4,7,,,,,,,,,,,,,,,,,,,,,,,,,110.49511887994595,111.49782132694963,111.48096007492859,None,space,111.48096007492859,None,0.36602610698901117,,,,,,,,,,,,,,,,,7,001,2021_Dec_01_1450,psychophysics_project,2021.2.3,59.82086106319763,
salient,nogo,2nogov1.png,,,,,,,0,5,5,16,,,,,,,,,,,,,,,,,,,,,,,,,111.88215576193761,112.88474568701349,112.86799997999333,114.87348455493338,None,112.86799997999333,None,,,,,,,,,,,,,,,,,,7,001,2021_Dec_01_1450,psychophysics_project,2021.2.3,59.82086106319763,
salient,go,2gov4.png,,,,,,,0,6,6,9,,,,,,,,,,,,,,,,,,,,,,,,,115.8930735749891,116.895584904938,116.878689795034,None,space,116.878689795034,115.8930735749891,0.42538576503284276,,,,,,,,,,,,,,,,,7,001,2021_Dec_01_1450,psychophysics_project,2021.2.3,59.82086106319763,
nonsalient,nogo,2nogo1.png,,,,,,,0,7,7,11,,,,,,,,,,,,,,,,,,,,,,,,,117.34664441994391,118.34938000992406,118.33255998697132,120.33792309998535,None,118.33255998697132,None,,,,,,,,,,,,,,,,,,7,001,2021_Dec_01_1450,psychophysics_project,2021.2.3,59.82086106319763,
salient,nogo,2nogov2.png,,,,,,,0,8,8,17,,,,,,,,,,,,,,,,,,,,,,,,,121.35744570195675,122.35996574000455,122.34343038697261,124.34870634495746,None,122.34343038697261,121.35744570195675,,,,,,,,,,,,,,,,,,7,001,2021_Dec_01_1450,psychophysics_project,2021.2.3,59.82086106319763,
nonsalient,go,2go.png,,,,,,,0,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,,125.36805150494911,126.37094606703613,126.3539226949215,None,space,126.3539226949215,125.36805150494911,0.3634855931159109,,,,,,,,,,,,,,,,,7,001,2021_Dec_01_1450,psychophysics_project,2021.2.3,59.82086106319763,
nonsalient,nogo,2nogo2.png,,,,,,,0,10,10,12,,,,,,,,,,,,,,,,,,,,,,,,,126.75515675498173,127.75782917998731,127.74122778698802,129.74648879503366,None,127.74122778698802,None,,,,,,,,,,,,,,,,,,7,001,2021_Dec_01_1450,psychophysics_project,2021.2.3,59.82086106319763,
salient,go,2gov.png,,,,,,,0,11,11,5,,,,,,,,,,,,,,,,,,,,,,,,,130.76584181003273,131.76860973692965,131.7517851749435,None,space,131.7517851749435,130.76584181003273,0.41274152498226613,,,,,,,,,,,,,,,,,7,001,2021_Dec_01_1450,psychophysics_project,2021.2.3,59.82086106319763,
salient,nogo,2nogov4.png,,,,,,,0,12,12,19,,,,,,,,,,,,,,,,,,,,,,,,,132.2030171949882,133.205622629961,133.189038004959,135.19427203002851,None,133.189038004959,None,,,,,,,,,,,,,,,,,,7,001,2021_Dec_01_1450,psychophysics_project,2021.2.3,59.82086106319763,
nonsalient,go,2go2.png,,,,,,,0,13,13,2,,,,,,,,,,,,,,,,,,,,,,,,,136.2137668200303,137.21633561199997,137.18292685202323,None,space,137.18292685202323,136.2137668200303,0.4095324749359861,,,,,,,,,,,,,,,,,7,001,2021_Dec_01_1450,psychophysics_project,2021.2.3,59.82086106319763,
nonsalient,go,2go4.png,,,,,,,0,14,14,4,,,,,,,,,,,,,,,,,,,,,,,,,137.63450788496993,138.63681216002442,138.60354770696722,None,space,138.60354770696722,None,0.3736966649303213,,,,,,,,,,,,,,,,,7,001,2021_Dec_01_1450,psychophysics_project,2021.2.3,59.82086106319763,
nonsalient,nogo,2nogo.png,,,,,,,0,15,15,10,,,,,,,,,,,,,,,,,,,,,,,,,139.0212902049534,140.02384279994294,140.0071555649629,142.01259519194718,None,140.0071555649629,None,,,,,,,,,,,,,,,,,,7,001,2021_Dec_01_1450,psychophysics_project,2021.2.3,59.82086106319763,
salient,nogo,2nogov3.png,,,,,,,0,16,16,18,,,,,,,,,,,,,,,,,,,,,,,,,143.03189879702404,144.03458348196,144.01807479502168,146.02335970499553,None,144.01807479502168,143.03189879702404,,,,,,,,,,,,,,,,,,7,001,2021_Dec_01_1450,psychophysics_project,2021.2.3,59.82086106319763,
nonsalient,go,2go3.png,,,,,,,0,17,17,3,,,,,,,,,,,,,,,,,,,,,,,,,147.04258891695645,148.04537975497078,148.02870531997178,None,space,148.02870531997178,147.04258891695645,0.3792489180341363,,,,,,,,,,,,,,,,,7,001,2021_Dec_01_1450,psychophysics_project,2021.2.3,59.82086106319763,
nonsalient,nogo,2nogo3.png,,,,,,,0,18,18,13,,,,,,,,,,,,,,,,,,,,,,,,,148.44655659492128,149.44928905495908,149.43247755500488,151.43787203694228,None,149.43247755500488,None,,,,,,,,,,,,,,,,,,7,001,2021_Dec_01_1450,psychophysics_project,2021.2.3,59.82086106319763,
salient,go,2gov1.png,,,,,,,0,19,19,6,,,,,,,,,,,,,,,,,,,,,,,,,152.45702851493843,153.45986177702434,153.4431791770039,None,space,153.4431791770039,152.45702851493843,0.445553574943915,,,,,,,,,,,,,,,,,7,001,2021_Dec_01_1450,psychophysics_project,2021.2.3,59.82086106319763,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.91094154003076,None,space,68.36166923004203,153.91094154003076,None,,,,,,,,,,,7,001,2021_Dec_01_1450,psychophysics_project,2021.2.3,59.82086106319763,
